faction;deckCardId;number;randomHexLabel;randomHexValue;orderLabel;orderName;orderType;orderCount;action;eventName;diceWhite;diceRed;consequence
german;german-19;19;D9;9;MOVIMENTO;MOVIMENTO;move;1;FUOCO INCROCIATO;INCENDIO;4;1;
german;german-20;20;E1;1;MOVIMENTO;MOVIMENTO;move;1;FUOCO INCROCIATO;INCENDIO;4;1;
german;german-21;21;E3;3;MOVIMENTO;MOVIMENTO;move;1;FUOCO INCROCIATO;INCENDIO;1;5;
german;german-22;22;E5;5;MOVIMENTO;MOVIMENTO;move;1;FUOCO INCROCIATO;INCENDIO;1;5;
german;german-23;23;E7;7;MOVIMENTO;MOVIMENTO;move;1;FUOCO INCROCIATO;INCENDIO;2;4;
german;german-24;24;E9;9;MOVIMENTO;MOVIMENTO;move;1;FUOCO INCROCIATO;INCENDIO;2;4;
german;german-25;25;F1;1;MOVIMENTO;MOVIMENTO;move;1;FUOCO INCROCIATO;PROMOZIONE SUL CAMPO;3;3;sniper
german;german-26;26;F3;3;MOVIMENTO;MOVIMENTO;move;1;FUOCO INCROCIATO;RICOGNIZIONE;3;3;sniper
german;german-27;27;F5;5;MOVIMENTO;MOVIMENTO;move;1;MIMETIZZAZIONE;RICOGNIZIONE;4;2;
german;german-28;28;F7;7;MOVIMENTO;MOVIMENTO;move;1;MIMETIZZAZIONE;DIVIDERSI;4;2;
german;german-29;29;F9;9;MOVIMENTO;MOVIMENTO;move;1;MIMETIZZAZIONE;DIVIDERSI;5;1;
german;german-30;30;G1;1;MOVIMENTO;MOVIMENTO;move;1;MIMETIZZAZIONE;DIVIDERSI;5;1;
german;german-31;31;G3;3;ORDINI CONTRADDITTORI;ORDINI CONTRADDITTORI;pass;0;UNITA' NASCOSTA;INTERDIZIONE;1;6;
german;german-32;32;G5;5;ARTIGLIERIA NEGATA;ARTIGLIERIA NEGATA;arty_denied;1;MINE NASCOSTE;INTERDIZIONE;1;6;
german;german-33;33;G7;7;RICHIESTA D'ARTIGLIERIA;RICHIESTA D'ARTIGLIERIA;arty;1;TRINCERARSI;INTERDIZIONE;2;5;event
german;german-34;34;G9;9;RICHIESTA D'ARTIGLIERIA;RICHIESTA D'ARTIGLIERIA;arty;1;TRINCERARSI;INTERDIZIONE;2;5;event
german;german-35;35;H3;3;RICHIESTA D'ARTIGLIERIA;RICHIESTA D'ARTIGLIERIA;arty;1;TRINCERARSI;INTERDIZIONE;3;4;event
german;german-36;36;H5;5;RICHIESTA D'ARTIGLIERIA;RICHIESTA D'ARTIGLIERIA;arty;1;TRINCERARSI;INTERDIZIONE;3;4;event
german;german-37;37;H7;7;RICHIESTA D'ARTIGLIERIA;RICHIESTA D'ARTIGLIERIA;arty;1;TRINCERAMENTI NASCOSTI;ZAPPATORI;4;3;event
german;german-38;38;H9;9;RICHIESTA D'ARTIGLIERIA;RICHIESTA D'ARTIGLIERIA;arty;1;TRINCERAMENTI NASCOSTI;ZAPPATORI;4;3;event
german;german-39;39;I1;1;RICHIESTA D'ARTIGLIERIA;RICHIESTA D'ARTIGLIERIA;arty;1;CASAMATTA NASCOSTA;SCONTRO SENZA PERDITE;5;2;event
german;german-40;40;I3;3;RICHIESTA D'ARTIGLIERIA;RICHIESTA D'ARTIGLIERIA;arty;1;FILO SPINATO NASCOSTO;FUOCO DI SOPPRESSIONE;5;2;event
german;german-41;41;I5;5;ARTIGLIERIA NEGATA;ARTIGLIERIA NEGATA;arty_denied;1;FILO SPINATO NASCOSTO;FUOCO DI SOPPRESSIONE;6;1;event
german;german-42;42;I7;7;ORDINI CONTRADDITTORI;ORDINI CONTRADDITTORI;pass;0;FUOCO MIRATO;FUOCO DI SOPPRESSIONE;6;1;event
german;german-43;43;I9;9;AVANZATA;AVANZATA;advance;1;FUOCO SOSTENUTO;COMANDO E CONTROLLO;2;6;
german;german-44;44;J1;1;AVANZATA;AVANZATA;advance;1;FUOCO SOSTENUTO;SCONTRO SENZA PERDITE;2;6;
german;german-45;45;J3;3;AVANZATA;AVANZATA;advance;1;FUOCO SOSTENUTO;SUPPORTO AEREO;3;5;
german;german-46;46;J5;5;ORDINI CONTRADDITTORI;ORDINI CONTRADDITTORI;pass;0;FERITE LEGGERE;SPIONAGGIO;3;5;
german;german-47;47;J7;7;ORDINI CONTRADDITTORI;ORDINI CONTRADDITTORI;pass;0;ORDINI CONTRADDITTORI;SPIONAGGIO;4;4;sniper
german;german-48;48;J9;9;ROTTA;ROTTA;rout;1;MIMETIZZAZIONE;SPIONAGGIO;4;4;sniper
german;german-49;49;K1;1;ORDINI CONTRADDITTORI;ORDINI CONTRADDITTORI;pass;0;FUOCO SOSTENUTO;COMANDO E CONTROLLO;5;3;
german;german-50;50;K3;3;ORDINE/AZIONE FUOCO;FUOCO;fire;1;GRANATE FUMOGENE;MALFUNZIONAMENTO;5;3;
german;german-51;51;K5;5;ORDINE/AZIONE FUOCO;FUOCO;fire;1;GRANATE FUMOGENE;PROCEDERE FERITI;6;2;
german;german-52;52;K7;7;ORDINE/AZIONE FUOCO;FUOCO;fire;1;GRANATE FUMOGENE;PROCEDERE FERITI;6;2;
german;german-53;53;K9;9;ORDINE/AZIONE FUOCO;FUOCO;fire;1;GRANATE FUMOGENE;PROCEDERE FERITI;3;6;
german;german-54;54;L1;1;ORDINE/AZIONE FUOCO;FUOCO;fire;1;GRANATE FUMOGENE;PROCEDERE FERITI;3;6;
german;german-55;55;L3;3;ORDINE/AZIONE FUOCO;FUOCO;fire;1;GRANATE FUMOGENE;RINFORZI;4;5;
german;german-56;56;L5;5;ORDINE/AZIONE FUOCO;FUOCO;fire;1;IMBOSCATA;RINFORZI;4;5;
german;german-57;57;L7;7;ORDINE/AZIONE FUOCO;FUOCO;fire;1;IMBOSCATA;SACCHEGGIO;5;4;
german;german-58;58;L9;9;ORDINE/AZIONE FUOCO;FUOCO;fire;1;IMBOSCATA;TEMPRATI DALLA GUERRA;5;4;
german;german-59;59;M1;1;ORDINE/AZIONE FUOCO;FUOCO;fire;1;IMBOSCATA;TEMPRATI DALLA GUERRA;6;3;
german;german-60;60;M3;3;ORDINE/AZIONE FUOCO;FUOCO;fire;1;IMBOSCATA;TEMPRATI DALLA GUERRA;6;3;
german;german-61;61;M5;5;ORDINE/AZIONE FUOCO;FUOCO;fire;1;IMBOSCATA;TEMPRATI DALLA GUERRA;4;6;
german;german-62;62;M7;7;ORDINE/AZIONE FUOCO;FUOCO;fire;1;LOTTA SENZA QUARTIERE;TEMPRATI DALLA GUERRA;4;6;
german;german-63;63;M9;9;ORDINE/AZIONE FUOCO;FUOCO;fire;1;LOTTA SENZA QUARTIERE;ACQUATTARSI;5;5;sniper
german;german-64;64;N1;1;ORDINE/AZIONE FUOCO;FUOCO;fire;1;LOTTA SENZA QUARTIERE;ACQUATTARSI;5;5;sniper
german;german-65;65;N3;3;ORDINE/AZIONE FUOCO;FUOCO;fire;1;DEMOLIZIONI;PRIGIONIERI DI GUERRA;6;4;
german;german-66;66;N5;5;ORDINE/AZIONE FUOCO;FUOCO;fire;1;FERITE LEGGERE;PRIGIONIERI DI GUERRA;6;4;
german;german-67;67;N7;7;ORDINE/AZIONE FUOCO;FUOCO;fire;1;FERITE LEGGERE;EROE;5;6;
german;german-68;68;N9;9;AVANZATA;AVANZATA;advance;1;FERITE LEGGERE;EROE;5;6;
german;german-69;69;O3;3;AVANZATA;AVANZATA;advance;1;FERITE LEGGERE;EROE;6;5;
german;german-70;70;O5;5;ORDINI CONTRADDITTORI;ORDINI CONTRADDITTORI;pass;0;BUONA MIRA;EROE;6;5;
german;german-71;71;O7;7;ORDINI CONTRADDITTORI;ORDINI CONTRADDITTORI;pass;0;FUOCO SOSTENUTO;EROE;6;6;time
german;german-72;72;O9;9;ORDINI CONTRADDITTORI;ORDINI CONTRADDITTORI;pass;0;FUOCO SOSTENUTO;EROE;6;6;time
